1	h		h, Ø
2	j	#_	j
3	j	V_V]STEM	h, j, s, t∫
4	k	#_	k, kh
5	k	V_V]STEM	g, k, kh
6	k	i,e__] STEM	k, kh, t∫
7	k	~V_V	g, k, kh, Ø
8	kk		k, kh
9	kʔ	#_	g, k, kh, kʔ, Ø
10	kʔ	V_V]STEM	ND, g, k, kh, vʔk, Ø
11	m		b, m
12	n		d, n
13	p	#_	h, p, ph, ɸ
14	p	V_V]stem	h, p, ɸ
15	pʔ	#_	b, p, pʔ
16	pʔ	#_V*p	b, h, p
17	pʔ	V_V]STEM	b, h, p, vʔp
18	pʔ	~V_V]STEM	b, h, vʔb
19	s	#_	h, s, t∫
20	s	V_V	h, s, t∫
21	t	#_	t, th
22	t	V_V]STEM	d, t, th
23	t	~V_V]STEM	d, n, t, th
24	ts	#_	h, j, s, t, ts
25	ts	V_V]stem	h, s, t, ts, t∫
26	tsʔ	#_	h, j, sʔ
27	tsʔ	#_ i	d, h, j, l, r, sʔ
28	tt	V_V]stem	t, th, t∫
29	tʔ	#_	d, l, r, ɖ
30	tʔ	V_V]STEM	d, l, t, th, vʔt
31	tʔ	~V_V]STEM	d, n, t, vʔd, vʔr
32	t∫	#_	h, s, t, t∫
33	w		w
34	ʔ		h, Ø, ʔ
